<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SPFB.RTS;0;20230428;090057;101120.000000000;3
SPFB.RTS;0;20230428;090057;101110.000000000;1
SPFB.RTS;0;20230428;090057;101110.000000000;1
SPFB.RTS;0;20230428;090057;101100.000000000;2
SPFB.RTS;0;20230428;090057;101090.000000000;1
SPFB.RTS;0;20230428;090058;101110.000000000;2
SPFB.RTS;0;20230428;090058;101110.000000000;1
SPFB.RTS;0;20230428;090058;101110.000000000;1
SPFB.RTS;0;20230428;090058;101120.000000000;6
SPFB.RTS;0;20230428;090058;101120.000000000;1
SPFB.RTS;0;20230428;090058;101120.000000000;1
SPFB.RTS;0;20230428;090058;101120.000000000;2
SPFB.RTS;0;20230428;090058;101120.000000000;1
SPFB.RTS;0;20230428;090058;101130.000000000;15
SPFB.RTS;0;20230428;090058;101120.000000000;1
SPFB.RTS;0;20230428;090058;101130.000000000;1
SPFB.RTS;0;20230428;090058;101090.000000000;2
SPFB.RTS;0;20230428;090058;101090.000000000;1
SPFB.RTS;0;20230428;090058;101080.000000000;2
SPFB.RTS;0;20230428;090058;101130.000000000;1
SPFB.RTS;0;20230428;090058;101120.000000000;1
SPFB.RTS;0;20230428;090058;101130.000000000;1
SPFB.RTS;0;20230428;090100;101110.000000000;1
SPFB.RTS;0;20230428;090100;101110.000000000;1
SPFB.RTS;0;20230428;090100;101080.000000000;1
SPFB.RTS;0;20230428;090100;101080.000000000;1
SPFB.RTS;0;20230428;090100;101080.000000000;1
SPFB.RTS;0;20230428;090100;101080.000000000;1
SPFB.RTS;0;20230428;090100;101070.000000000;3
SPFB.RTS;0;20230428;090100;101070.000000000;1
SPFB.RTS;0;20230428;090100;101070.000000000;1
SPFB.RTS;0;20230428;090100;101070.000000000;1
SPFB.RTS;0;20230428;090100;101070.000000000;1
SPFB.RTS;0;20230428;090100;101070.000000000;1
SPFB.RTS;0;20230428;090100;101070.000000000;2
SPFB.RTS;0;20230428;090100;101060.000000000;3
SPFB.RTS;0;20230428;090100;101060.000000000;2
SPFB.RTS;0;20230428;090100;101060.000000000;1
